Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Drug Use Disorder Estimate,Drug Use Disorder Estimate Description,Drug Use Disorder Estimate Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude,Georeferenced Latitude & Longitude
County,Cambria,All,All (12 to 100 years),2016,2016 Annual,6461,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,11,11,42,021,40.491274907,-78.71894174,POINT (-78.71894174 40.491274907)
County,Lawrence,All,All (12 to 100 years),2016,2016 Annual,2773,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,37,37,42,073,40.993250351,-80.33754114,POINT (-80.33754114 40.993250351)
County,Blair,All,All (12 to 100 years),2017,2017 Annual,2606,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,7,07,42,013,40.485550238,-78.34907687,POINT (-78.34907687 40.485550238)
County,Mifflin,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,44,44,42,087,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
County,Bradford,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,8,08,42,015,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
County,Wyoming,All,All (12 to 100 years),2017,2017 Annual,606,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
County,Westmoreland,All,All (12 to 100 years),2018,2018 Annual,9200,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,65,65,42,129,40.310314999,-79.47134118,POINT (-79.47134118 40.310314999)
County,Northumberland,All,All (12 to 100 years),2019,2019 Annual,3255,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,49,49,42,097,40.851509257,-76.71188423,POINT (-76.71188423 40.851509257)
County,Northampton,All,All (12 to 100 years),2016,2016 Annual,5222,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,48,48,42,095,40.754595404,-75.31263726,POINT (-75.31263726 40.754595404)
State,Commonwealth,All,55 to 64 years,2020,2020 Annual,52355,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,Female,All (12 to 100 years),2017,2017 Annual,88264,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Cumberland,All,All (12 to 100 years),2019,2019 Annual,2876,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,21,21,42,041,40.167598388,-77.26866271,POINT (-77.26866271 40.167598388)
County,Crawford,All,All (12 to 100 years),2016,2016 Annual,2213,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,20,20,42,039,41.685469069,-80.11321083,POINT (-80.11321083 41.685469069)
County,Potter,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,53,53,42,105,41.744206438,-77.89879229,POINT (-77.89879229 41.744206438)
County,Adams,All,All (12 to 100 years),2018,2018 Annual,1231,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,1,01,42,001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
County,Clarion,All,All (12 to 100 years),2018,2018 Annual,791,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,16,16,42,031,41.192791288,-79.42483608,POINT (-79.42483608 41.192791288)
County,Beaver,All,All (12 to 100 years),2020,2020 Annual,4007,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,4,04,42,007,40.683492455,-80.35107356,POINT (-80.35107356 40.683492455)
County,Tioga,All,All (12 to 100 years),2020,2020 Annual,628,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,59,59,42,117,41.773338336,-77.25788076,POINT (-77.25788076 41.773338336)
County,Northampton,All,All (12 to 100 years),2018,2018 Annual,5508,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,48,48,42,095,40.754595404,-75.31263726,POINT (-75.31263726 40.754595404)
County,Carbon,All,All (12 to 100 years),2019,2019 Annual,2244,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,13,13,42,025,40.919367008,-75.71107039,POINT (-75.71107039 40.919367008)
County,Crawford,All,All (12 to 100 years),2017,2017 Annual,1212,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,20,20,42,039,41.685469069,-80.11321083,POINT (-80.11321083 41.685469069)
State,Commonwealth,All,45 to 54 years,2019,2019 Annual,67559,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lackawanna,All,All (12 to 100 years),2017,2017 Annual,4727,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,35,35,42,069,41.439100643,-75.61218345,POINT (-75.61218345 41.439100643)
County,Huntingdon,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,31,31,42,061,40.416105003,-77.9827661,POINT (-77.9827661 40.416105003)
State,Commonwealth,All,45 to 54 years,2017,2017 Annual,59934,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lancaster,All,All (12 to 100 years),2020,2020 Annual,8821,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,36,36,42,071,40.045907962,-76.25138768,POINT (-76.25138768 40.045907962)
County,Venango,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,61,61,42,121,41.403412586,-79.76286561,POINT (-79.76286561 41.403412586)
County,Luzerne,All,All (12 to 100 years),2019,2019 Annual,10744,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,40,40,42,079,41.178364388,-75.9919961,POINT (-75.9919961 41.178364388)
County,Pike,All,All (12 to 100 years),2016,2016 Annual,915,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,52,52,42,103,41.332571995,-75.03270924,POINT (-75.03270924 41.332571995)
County,Susquehanna,All,All (12 to 100 years),2018,2018 Annual,733,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,58,58,42,115,41.820568598,-75.80250303,POINT (-75.80250303 41.820568598)
County,Potter,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,53,53,42,105,41.744206438,-77.89879229,POINT (-77.89879229 41.744206438)
County,Montgomery,All,All (12 to 100 years),2017,2017 Annual,11605,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,46,46,42,091,40.209898739,-75.37252001,POINT (-75.37252001 40.209898739)
County,Armstrong,All,All (12 to 100 years),2017,2017 Annual,2060,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,3,03,42,005,40.815095256,-79.47316899,POINT (-79.47316899 40.815095256)
County,Montour,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,47,47,42,093,41.028018244,-76.66470527,POINT (-76.66470527 41.028018244)
County,Greene,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,30,30,42,059,39.854803934,-80.22943817,POINT (-80.22943817 39.854803934)
County,Armstrong,All,All (12 to 100 years),2019,2019 Annual,1706,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,3,03,42,005,40.815095256,-79.47316899,POINT (-79.47316899 40.815095256)
State,Commonwealth,Female,All (12 to 100 years),2016,2016 Annual,90211,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Erie,All,All (12 to 100 years),2019,2019 Annual,4677,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,25,25,42,049,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
State,Commonwealth,All,15 to 24 years,2020,2020 Annual,12020,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Westmoreland,All,All (12 to 100 years),2016,2016 Annual,13836,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,65,65,42,129,40.310314999,-79.47134118,POINT (-79.47134118 40.310314999)
County,Mercer,All,All (12 to 100 years),2018,2018 Annual,3750,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,43,43,42,085,41.302377765,-80.26009411,POINT (-80.26009411 41.302377765)
County,York,All,All (12 to 100 years),2019,2019 Annual,7710,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,67,67,42,133,39.921925312,-76.72576052,POINT (-76.72576052 39.921925312)
County,Pike,All,All (12 to 100 years),2019,2019 Annual,1169,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,52,52,42,103,41.332571995,-75.03270924,POINT (-75.03270924 41.332571995)
State,Commonwealth,Male,All (12 to 100 years),2019,2019 Annual,220852,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,All,35 to 44 years,2016,2016 Annual,68177,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Bradford,All,All (12 to 100 years),2019,2019 Annual,1011,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,8,08,42,015,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
County,Philadelphia,All,All (12 to 100 years),2016,2016 Annual,49472,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,51,51,42,101,40.004443538,-75.140236,POINT (-75.140236 40.004443538)
County,Washington,All,All (12 to 100 years),2020,2020 Annual,5920,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,63,63,42,125,40.191096635,-80.25180083,POINT (-80.25180083 40.191096635)
County,Huntingdon,All,All (12 to 100 years),2017,2017 Annual,848,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,31,31,42,061,40.416105003,-77.9827661,POINT (-77.9827661 40.416105003)
County,Greene,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,30,30,42,059,39.854803934,-80.22943817,POINT (-80.22943817 39.854803934)
State,Commonwealth,All,55 to 64 years,2017,2017 Annual,40358,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lebanon,All,All (12 to 100 years),2018,2018 Annual,1289,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,38,38,42,075,40.367597002,-76.46182575,POINT (-76.46182575 40.367597002)
County,Wayne,All,All (12 to 100 years),2020,2020 Annual,688,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,64,64,42,127,41.649698053,-75.3051535,POINT (-75.3051535 41.649698053)
County,Sullivan,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,57,57,42,113,41.448099396,-76.5147922,POINT (-76.5147922 41.448099396)
County,Northumberland,All,All (12 to 100 years),2020,2020 Annual,2153,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,49,49,42,097,40.851509257,-76.71188423,POINT (-76.71188423 40.851509257)
County,Clarion,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,16,16,42,031,41.192791288,-79.42483608,POINT (-79.42483608 41.192791288)
County,Clearfield,All,All (12 to 100 years),2020,2020 Annual,1166,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,17,17,42,033,41.000429002,-78.47558343,POINT (-78.47558343 41.000429002)
County,Warren,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,62,62,42,123,41.816752365,-79.27858158,POINT (-79.27858158 41.816752365)
County,Crawford,All,All (12 to 100 years),2019,2019 Annual,1485,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,20,20,42,039,41.685469069,-80.11321083,POINT (-80.11321083 41.685469069)
County,Indiana,All,All (12 to 100 years),2020,2020 Annual,2093,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,32,32,42,063,40.652954975,-79.09333493,POINT (-79.09333493 40.652954975)
County,Columbia,All,All (12 to 100 years),2016,2016 Annual,915,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,19,19,42,037,41.049120856,-76.4100218,POINT (-76.4100218 41.049120856)
County,Fulton,All,All (12 to 100 years),2016,2016 Annual,767,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,29,29,42,057,39.924875109,-78.11485045,POINT (-78.11485045 39.924875109)
State,Commonwealth,All,35 to 44 years,2018,2018 Annual,76211,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Sullivan,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,57,57,42,113,41.448099396,-76.5147922,POINT (-76.5147922 41.448099396)
County,Venango,All,All (12 to 100 years),2016,2016 Annual,826,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,61,61,42,121,41.403412586,-79.76286561,POINT (-79.76286561 41.403412586)
County,Fulton,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,29,29,42,057,39.924875109,-78.11485045,POINT (-78.11485045 39.924875109)
County,Lackawanna,All,All (12 to 100 years),2019,2019 Annual,4898,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,35,35,42,069,41.439100643,-75.61218345,POINT (-75.61218345 41.439100643)
County,Cameron,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,12,12,42,023,41.438802653,-78.20916932,POINT (-78.20916932 41.438802653)
County,Philadelphia,All,All (12 to 100 years),2017,2017 Annual,61509,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,51,51,42,101,40.004443538,-75.140236,POINT (-75.140236 40.004443538)
County,Allegheny,All,All (12 to 100 years),2018,2018 Annual,31644,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,2,02,42,003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
County,Elk,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,24,24,42,047,41.428194161,-78.64947713,POINT (-78.64947713 41.428194161)
County,Berks,All,All (12 to 100 years),2017,2017 Annual,6363,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,6,06,42,011,40.419396351,-75.93077327,POINT (-75.93077327 40.419396351)
County,Wyoming,All,All (12 to 100 years),2018,2018 Annual,1084,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
County,Cameron,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,12,12,42,023,41.438802653,-78.20916932,POINT (-78.20916932 41.438802653)
County,Juniata,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,34,34,42,067,40.534330084,-77.405775,POINT (-77.405775 40.534330084)
County,Mifflin,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,44,44,42,087,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
County,Somerset,All,All (12 to 100 years),2016,2016 Annual,1947,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
County,Cambria,All,All (12 to 100 years),2017,2017 Annual,4909,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,11,11,42,021,40.491274907,-78.71894174,POINT (-78.71894174 40.491274907)
County,Cameron,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,12,12,42,023,41.438802653,-78.20916932,POINT (-78.20916932 41.438802653)
