Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1
DDAP-Licensed Treatment Facility,"T.W. Ponessa & Associates Counseling Services, Inc.",15 South Ninth Street,Lebanon,717-273-5992,42,075,38,38,"Lebanon, Pennsylvania 17042
(40.33856, -76.4266237)"
DDAP-Licensed Treatment Facility,"Crossroads Counseling, Inc.",1873 Shumway Hill Road,Tioga,570-323-7535,42,117,59,59,"Wellsboro, Pennsylvania 16901
(41.741295, -77.27014)"
DDAP-Licensed Treatment Facility,North Philadelphia Health System DD/FIR,"801 West Girard Avenue, GMC Building, 4th Floor & 4 A, D, C",Philadelphia,215-787-2468,42,101,51,51,"Philadelphia, Pennsylvania 19122
(39.9711298, -75.1496002)"
DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services Lancaster City,40 Pearl Street,Lancaster,717-397-8081,42,071,36,36,"Lancaster, Pennsylvania 17603
(40.03727, -76.321976)"
Center of Excellence,"The CARE Center, Inc.",75 East Maiden Street,Washington,1-888-810-8595 ,42,125,63,63,"Washington, Pennsylvania 15301
(40.168557, -80.242815)"
DDAP-Licensed Treatment Facility,Kirkbride Center,111 North 49 Street,Philadelphia,215-471-2600,42,101,51,51,"Philadelphia, Pennsylvania 19139
(39.9600168, -75.2274866)"
DDAP-Licensed Treatment Facility,RHD Healing Ajax,3300 Henry Avenue,Philadelphia,215-438-4676,42,101,51,51,"Philadelphia, Pennsylvania 19129
(40.01173, -75.184536)"
DDAP-Licensed Treatment Facility,Mirmont Outpatient Services,600 Abbott Drive,Delaware,484-476-6543,42,045,23,23,"Broomall, Pennsylvania 19008
(39.960635, -75.33669)"
DDAP-Licensed Treatment Facility,"James A. Casey House, LLC",199-207 South Main Street,Luzerne,570-822-9011,42,079,40,40,"Wilkes Barre, Pennsylvania 18701
(41.2419889, -75.8888854)"
DDAP-Licensed Treatment Facility,"Northern Tier Counseling, Inc.",24727 Route 6,Bradford,570-265-0100,42,015,8,08,"Towanda, Pennsylvania 18848
(41.767575, -76.4427188)"
DDAP-Licensed Treatment Facility,"Cora Services, Inc.",8540 Verree Road,Philadelphia,215-342-7660,42,101,51,51,"Philadelphia, Pennsylvania 19111
(40.0815149, -75.0681876)"
DDAP-Licensed Treatment Facility,Turning Point II,"Millcraft Center, Suite 510",Washington,724-222-0112,42,125,63,63,"Washington, Pennsylvania 15301
(40.171694, -80.247153)"
DDAP-Licensed Treatment Facility,"Libertae Family House Libertae, Inc.",5245 Bensalem Boulevard,Bucks,215-639-8681,42,017,9,09,"Bensalem, Pennsylvania 19020
(40.1143818, -74.9085636)"
DDAP-Licensed Treatment Facility,Cornell Abraxas I,165 Abraxas Road,Forest,814-927-6615,42,053,27,27,"Marienville, Pennsylvania 16239
(41.469147, -79.123501)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",2705 Old Bethlehem Pike,Bucks,215-536-9070,42,017,9,09,"Quakertown, Pennsylvania 18951
(40.4037763, -75.3334916)"
DDAP-Licensed Treatment Facility,"Human Services Administration Organization, Inc.",101 Bellevue Road-Suite 300,Allegheny,412-942-0789,42,003,2,02,"Pittsburgh, Pennsylvania 15229
(40.514299, -80.030732)"
DDAP-Licensed Treatment Facility,Schuylkill Health System Center for Counseling Services,"502 South 2nd Street, Suite A",Schuylkill,570-622-5898,42,107,54,54,"Saint Clair, Pennsylvania 17970
(40.71414, -76.18652)"
DDAP-Licensed Treatment Facility,New Journeys In Recovery,"166 West Lehigh Avenue, Suite 102",Philadelphia,215-634-3669,42,101,51,51,"Philadelphia, Pennsylvania 19133
(39.99105, -75.1341128)"
DDAP-Licensed Treatment Facility,Gateway Rehabilitation Center - Mount Pleasant,508 South Church Suite 201,Westmoreland,724-365-4020,42,129,65,65,"Mount Pleasant, Pennsylvania 15666
(40.145263, -79.549922)"
DDAP-Licensed Treatment Facility,Gaudenzia Inc. Fulton County Outpatient,201 Lincoln Highway West Suite 105,Fulton,717-847-2432,42,057,29,29,"Mcconnellsburg, Pennsylvania 17233
(39.932589, -77.998891)"
DDAP-Licensed Treatment Facility,"Familylinks, Inc.",843 Climax Street,Allegheny,412-381-8230,42,003,2,02,"Pittsburgh, Pennsylvania 15210
(40.4200044, -79.9932608)"
DDAP-Licensed Treatment Facility,Truenorth Wellness Services,625 West Elm Avenue,York,717-632-4900,42,133,67,67,"Hanover, Pennsylvania 17331
(39.809094, -76.999182)"
DDAP-Licensed Treatment Facility,NHS Stevens Center,33 State Avenue,Cumberland,717-243-6033,42,041,21,21,"Carlisle, Pennsylvania 17013
(40.181297, -77.18948)"
DDAP-Licensed Treatment Facility,Gaudenzia Inc. Harrisburg Concept 90,"124 Azalea Drive, Harrisburg State Hospital, Building 21",Dauphin,717-232-3232,42,043,22,22,"Harrisburg, Pennsylvania 17110
(40.2859191, -76.8779072)"
DDAP-Licensed Treatment Facility,"T. W. Ponessa and Associates Counseling Services, Inc.",900 North 6th Street,Dauphin,717-233-4027,42,043,22,22,"Harrisburg, Pennsylvania 17102
(40.267788, -76.884544)"
DDAP-Licensed Treatment Facility,Bradford Recovery Systems,116 Interstate Parkway 4th Floor,McKean,814-362-8421,42,083,42,42,"Bradford, Pennsylvania 16701
(41.9564953, -78.649163)"
Center of Excellence,The Wright Center for Primary Care Clarks Summit,1145 Northern Boulevard,Lackawanna,570-585-1300,42,069,35,35,"Clarks Summit, Pennsylvania 18411
(41.487749, -75.696799)"
DDAP-Licensed Treatment Facility,Greenbriar Treatment Center,"6200 Brooktree Road, Suite 210",Allegheny,724-225-9700,42,003,2,02,"Wexford, Pennsylvania 15090
(40.614096, -80.0616704)"
DDAP-Licensed Treatment Facility,"Familylinks, Inc.",2644 Banksville Road,Allegheny,412-924-0346,42,003,2,02,"Pittsburgh, Pennsylvania 15216
(40.405714, -80.037613)"
Center of Excellence,Narcotic Addiction Rehabilitation Program (NARP) of Thomas Jefferson University,21st Street and Washington Avenue (first floor) ,Philadelphia,215-735-5979,42,101,51,51,"Philadelphia, Pennsylvania 19146
(39.939513, -75.178286)"
DDAP-Licensed Treatment Facility,Samara House of CYWA,423 East Lincoln Highway,Chester,610-384-9591,42,029,15,15,"Coatesville, Pennsylvania 19320
(39.98482, -75.81665)"
PacMAT,"UPMC Insurance Division, Stairways Behavioral Health",2185 W. 8th Street,Erie,814-453-5806,42,049,25,25,"Erie, Pennsylvania 16505
(42.108977, -80.133001)"
DDAP-Licensed Treatment Facility,Pennsylvania Organization For Women In Early Recovery (POWER),7445 Church Street,Allegheny,412-271-0500,42,003,2,02,"Pittsburgh, Pennsylvania 15218
(40.42256, -79.88875)"
DDAP-Licensed Treatment Facility,Open Door Counseling At Mazzoni Center,1334 Bainbridge Street,Philadelphia,215-563-0663,42,101,51,51,"Philadelphia, Pennsylvania 19147
(39.9471476, -75.1633257)"
DDAP-Licensed Treatment Facility,"Allied Addiction Recovery, LLC","355 Fifth Ave, Suite 1419",Allegheny,412-246-8965,42,003,2,02,"Pittsburgh, Pennsylvania 15222
(40.4404409, -79.9986958)"
DDAP-Licensed Treatment Facility,Community Counseling Center of Mercer County,77 North Main Street,Mercer,724-981-7141,42,085,43,43,"Greenville, Pennsylvania 16125
(41.4107423, -80.3739582)"
DDAP-Licensed Treatment Facility,"Project Transition, Inc.","530 West Street Road, Suite 100",Bucks,215-322-1135,42,017,9,09,"Warminster, Pennsylvania 18974
(40.2041802, -75.0958772)"
DDAP-Licensed Treatment Facility,"Northeast Treatment Centers, Inc.",5501 Chestnut Street,Philadelphia,800-860-0703,42,101,51,51,"Philadelphia, Pennsylvania 19139
(39.959432, -75.231251)"
DDAP-Licensed Treatment Facility,"Visualize Change, LLC",913 Centre Street,Schuylkill,570-875-2271,42,107,54,54,"Ashland, Pennsylvania 17921
(40.782498, -76.343342)"
DDAP-Licensed Treatment Facility,"Gaudenzia Erie, Inc. Daniel Snow House",361 West Fifth Street,Erie,814-456-5758,42,049,25,25,"Erie, Pennsylvania 16507
(42.1272133, -80.0941526)"
DDAP-Licensed Treatment Facility,"Glenn R. Koch and Associates, LLC",961 Marcon Boulevard Suite 312,Lehigh,610-266-0610,42,077,39,39,"Allentown, Pennsylvania 18109
(40.644136, -75.439432)"
Center of Excellence,Reading Hospital and Health System (RH and RHS),6th Avenue & Spruce Street,Berks,"484-628-8070, option 2",42,011,6,06,"West Reading, Pennsylvania 19611
(40.332648, -75.950018)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",420 Supreme Court Drive,Monroe,570-213-3300,42,089,45,45,"East Stroudsburg, Pennsylvania 18302
(40.99953, -75.18129)"
DDAP-Licensed Treatment Facility,"Rehab Management, Inc. Rehab After Work","1566 Medical Drive, Suite 300",Montgomery,610-644-6464,42,091,46,46,"Pottstown, Pennsylvania 19464
(40.2445562, -75.5901134)"
DDAP-Licensed Treatment Facility,Axiom Family Counseling Services,3 Kensington Square,Westmoreland,878-847-7179,42,129,65,65,"New Kensington, Pennsylvania 15068
(40.563069, -79.766625)"
DDAP-Licensed Treatment Facility,"Men & Women For Human Excellence, Inc.",2603 W. Cecil B. Moore Avenue,Philadelphia,215-769-7045,42,101,51,51,"Philadelphia, Pennsylvania 19121
(39.9813987, -75.1774274)"
DDAP-Licensed Treatment Facility,Soar Corp.,"9150 Marshall Street, Ul Pavilion, Second Floor",Philadelphia,215-464-4450,42,101,51,51,"Philadelphia, Pennsylvania 19114
(40.068629, -75.0026972)"
DDAP-Licensed Treatment Facility,Laure Rohrs Gargano,115 Farley Circle Suite 109,Union,570-490-3028,42,119,60,60,"Lewisburg, Pennsylvania 17837
(40.963834, -76.909295)"
DDAP-Licensed Treatment Facility,Reading Hospital,"321 N. Furnace Street, Suite 100",Berks,484-628-8070,42,011,6,06,"Birdsboro, Pennsylvania 19508
(40.267411, -75.808024)"
DDAP-Licensed Treatment Facility,Race To Recovery Now,"1999 Sproul Road, Suite 10",Delaware,601-325-0500,42,045,23,23,"Broomall, Pennsylvania 19008
(39.96352, -75.35764)"
Center of Excellence,Esper Treatment Center,25 West 18th Street,Erie,814-459-0817,42,049,25,25,"Erie, Pennsylvania 16501
(42.11809, -80.07865)"
DDAP-Licensed Treatment Facility,Butler Regional Recovery Day Program,216 North Washington Street,Butler,724-284-4274,42,019,10,10,"Butler, Pennsylvania 16001
(40.8628986, -79.8969015)"
DDAP-Licensed Treatment Facility,The Graniteville House of Recovery,5242 Main Road,Luzerne,706-664-1444,42,079,40,40,"Sweet Valley, Pennsylvania 18656
(41.273322, -76.150732)"
DDAP-Licensed Treatment Facility,Gaudenzia Inc. Elsie Shenk Outpatient Center,211 East Mifflin Street,Lancaster,717-286-9088,42,071,36,36,"Lancaster, Pennsylvania 17602
(40.0377189, -76.3007158)"
DDAP-Licensed Treatment Facility,Aldie Counseling Center,2291 Cabot Boulevard West,Bucks,215-642-3230,42,017,9,09,"Langhorne, Pennsylvania 19047
(40.1919967, -74.8688629)"
DDAP-Licensed Treatment Facility,"Allied Addiction Recovery, LLC",378 West Chestnut Street  Suite 106,Washington,412-246-8965,42,125,63,63,"Washington, Pennsylvania 15301
(40.170961, -80.253887)"
PacMAT,"UPMC Insurance Division, Crossroads Counseling",501 E. 3rd Street,Lycoming,570-323-7535,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.2447688, -76.993962)"
DDAP-Licensed Treatment Facility,New Directions Treatment Services,2442 Brodhead Road,Northampton,610-758-8011,42,095,48,48,"Bethlehem, Pennsylvania 18020
(40.6779014, -75.3663457)"
DDAP-Licensed Treatment Facility,Sphs Behavioral Health,203 South Maple Avenue,Westmoreland,724-834-0420,42,129,65,65,"Greensburg, Pennsylvania 15601
(40.3015, -79.54286)"
DDAP-Licensed Treatment Facility,Soar Corp,7500 Bristol Pike,Bucks,215-464-4450,42,017,9,09,"Levittown, Pennsylvania 19057
(40.13143, -74.83123)"
DDAP-Licensed Treatment Facility,Discovery House PA,1391 Washington Boulevard,Allegheny,412-661-9222,42,003,2,02,"Pittsburgh, Pennsylvania 15206
(40.4699876, -79.9089634)"
DDAP-Licensed Treatment Facility,"Mainstream Counseling, Inc.",11 West Shirley Street,Huntingdon,814-643-1114,42,061,31,31,"Mount Union, Pennsylvania 17066
(40.385223, -77.884453)"
DDAP-Licensed Treatment Facility,"Family Child Resources, Inc.",3995 East Market Street,York,717-757-1227,42,133,67,67,"York, Pennsylvania 17402
(39.992316, -76.637537)"
DDAP-Licensed Treatment Facility,Mercy Behavioral Health,330 South 9th Street,Allegheny,412-488-4040,42,003,2,02,"Pittsburgh, Pennsylvania 15203
(40.4965, -79.9338)"
DDAP-Licensed Treatment Facility,Family A.C.T.S. Incorporated,837 Fifth Avenue,Armstrong,724-763-7600,42,005,3,03,"Ford City, Pennsylvania 16226
(40.7693355, -79.5311466)"
DDAP-Licensed Treatment Facility,Key Recovery Center Ambler,722 East Butler Pike,Montgomery,215-542-4825,42,091,46,46,"Ambler, Pennsylvania 19002
(40.1545535, -75.2215651)"
DDAP-Licensed Treatment Facility,"Discovery House Group, Inc.",920 Century Drive,Cumberland,401-465-7615,42,041,21,21,"Mechanicsburg, Pennsylvania 17055
(40.211136, -76.963661)"
DDAP-Licensed Treatment Facility,Women's Institute for Family Health,"5936 Chestnut Street, 1st Floor",Philadelphia,215-747-2391,42,101,51,51,"Philadelphia, Pennsylvania 19139
(39.960143, -75.24054)"
DDAP-Licensed Treatment Facility,T. W. Ponessa and Associates Counseling Services Inc.,2845 Eastern Boulevard,York,717-840-6444,42,133,67,67,"York, Pennsylvania 17402
(39.9739, -76.67005)"
DDAP-Licensed Treatment Facility,"Fulton Behavioral Health Services, PC","214 Peach Orchard Road, South Wing",Fulton,717-485-6102,42,057,29,29,"Mcconnellsburg, Pennsylvania 17233
(39.937216, -78.006755)"
Center of Excellence,Crozer-Chester Medical Center - Community Hospital,2600 West 9th Street,Delaware,610-497-7459,42,045,23,23,"Chester, Pennsylvania 19013
(39.838247, -75.393566)"
DDAP-Licensed Treatment Facility,Mental Health Associates of North Central Pa,21 Main Street,Bradford,570-265-2525,42,015,8,08,"Towanda, Pennsylvania 18848
(41.7706915, -76.4431495)"
DDAP-Licensed Treatment Facility,Clear Concepts Counseling,218 West High Street,Centre,814-355-7629,42,027,14,14,"Bellefonte, Pennsylvania 16823
(40.9116439, -77.7798006)"
DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services Carlisle,1 Greystone Road,Cumberland,717-245-9255,42,041,21,21,"Carlisle, Pennsylvania 17013
(40.200066, -77.17024)"
DDAP-Licensed Treatment Facility,Marworth,100 Lily Lake Road,Lackawanna,570-563-1112,42,069,35,35,"Waverly, Pennsylvania 18471
(41.54734, -75.70574)"
DDAP-Licensed Treatment Facility,Positive Pathways,139 Wabash Street,Allegheny,412-465-1050,42,003,2,02,"Pittsburgh, Pennsylvania 15220
(40.437465, -80.034333)"
DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services - Allison Hill,548 South 17th Street,Dauphin,717-695-7919,42,043,22,22,"Harrisburg, Pennsylvania 17104
(40.25933, -76.86097)"
DDAP-Licensed Treatment Facility,Waddington Rehab Center,2681 Waddington Avenue,Allegheny,724-483-4282,42,003,2,02,"Pittsburgh, Pennsylvania 15226
(40.395911, -80.028249)"
DDAP-Licensed Treatment Facility,"Cen-Clear, Inc.",44 South 7th Avenue,Clarion,814-226-4171,42,031,16,16,"Clarion, Pennsylvania 16214
(41.212061, -79.383297)"
DDAP-Licensed Treatment Facility,Gateway North Hills,105 Bradford Road Suite 100,Allegheny,724-776-4844,42,003,2,02,"Wexford, Pennsylvania 15090
(40.643006, -80.068563)"
DDAP-Licensed Treatment Facility,New Directions at Cove Forge,538 Main Street,Cambria,814-536-2071,42,021,11,11,"Johnstown, Pennsylvania 15901
(40.3248452, -78.9174493)"
