,Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Drug Use Disorder Estimate,Drug Use Disorder Estimate Description,Drug Use Disorder Estimate Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude,Georeferenced Latitude & Longitude,Pa Senatorial Districts (2017-01),Municipality Boundary,Pa House Districts (2017-01),Pa School Districts (2017),Pennsylvania County Boundaries
11,County,Allegheny,All,All (12 to 100 years),2017,2017 Annual,44329,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,2,02,42,003,40.46735543,-79.98619843,"{'type': 'Point', 'coordinates': [-79.98619843, 40.46735543]}",6,2158,163,324,40
12,County,Lackawanna,All,All (12 to 100 years),2020,2020 Annual,5352,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,35,35,42,069,41.439100643,-75.61218345,"{'type': 'Point', 'coordinates': [-75.61218345, 41.439100643]}",34,1283,125,253,22
13,County,Blair,All,All (12 to 100 years),2018,2018 Annual,1582,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,7,07,42,013,40.485550238,-78.34907687,"{'type': 'Point', 'coordinates': [-78.34907687, 40.485550238]}",17,294,28,268,46
14,County,Fulton,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,29,29,42,057,39.924875109,-78.11485045,"{'type': 'Point', 'coordinates': [-78.11485045, 39.924875109]}",17,164,31,472,36
15,County,Schuylkill,All,All (12 to 100 years),2018,2018 Annual,1875,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,54,54,42,107,40.707512431,-76.22332385,"{'type': 'Point', 'coordinates': [-76.22332385, 40.707512431]}",27,1343,127,304,64
16,County,Lancaster,All,All (12 to 100 years),2019,2019 Annual,7932,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,36,36,42,071,40.045907962,-76.25138768,"{'type': 'Point', 'coordinates': [-76.25138768, 40.045907962]}",25,222,144,74,23
17,State,Commonwealth,All,All (12 to 100 years),2020,2020 Annual,299000,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
18,County,Juniata,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,34,34,42,067,40.534330084,-77.405775,"{'type': 'Point', 'coordinates': [-77.405775, 40.534330084]}",18,53,36,201,21
19,County,Blair,All,All (12 to 100 years),2019,2019 Annual,1959,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,7,07,42,013,40.485550238,-78.34907687,"{'type': 'Point', 'coordinates': [-78.34907687, 40.485550238]}",17,294,28,268,46
20,County,Warren,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,62,62,42,123,41.816752365,-79.27858158,"{'type': 'Point', 'coordinates': [-79.27858158, 41.816752365]}",5,1741,60,234,51
21,County,Fulton,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,29,29,42,057,39.924875109,-78.11485045,"{'type': 'Point', 'coordinates': [-78.11485045, 39.924875109]}",17,164,31,472,36
22,County,Lehigh,All,All (12 to 100 years),2018,2018 Annual,6886,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,39,39,42,077,40.614647942,-75.60099481,"{'type': 'Point', 'coordinates': [-75.60099481, 40.614647942]}",36,506,115,336,26
23,County,Adams,All,All (12 to 100 years),2016,2016 Annual,1534,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,1,01,42,001,39.87209565,-77.22224271,"{'type': 'Point', 'coordinates': [-77.22224271, 39.87209565]}",19,1949,35,92,39
24,County,York,All,All (12 to 100 years),2020,2020 Annual,12080,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,67,67,42,133,39.921925312,-76.72576052,"{'type': 'Point', 'coordinates': [-76.72576052, 39.921925312]}",24,470,136,43,12
25,County,Montour,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,47,47,42,093,41.028018244,-76.66470527,"{'type': 'Point', 'coordinates': [-76.66470527, 41.028018244]}",22,963,54,64,58
26,County,Somerset,All,All (12 to 100 years),2017,2017 Annual,1879,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,56,56,42,111,39.97146299,-79.03100206,"{'type': 'Point', 'coordinates': [-79.03100206, 39.97146299]}",1,799,30,428,66
27,County,Delaware,All,All (12 to 100 years),2020,2020 Annual,11781,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,23,23,42,045,39.916578665,-75.40627712,"{'type': 'Point', 'coordinates': [-75.40627712, 39.916578665]}",35,782,63,380,28
28,County,York,All,All (12 to 100 years),2017,2017 Annual,7454,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,67,67,42,133,39.921925312,-76.72576052,"{'type': 'Point', 'coordinates': [-76.72576052, 39.921925312]}",24,470,136,43,12
29,County,Cambria,All,All (12 to 100 years),2018,2018 Annual,4336,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,11,11,42,021,40.491274907,-78.71894174,"{'type': 'Point', 'coordinates': [-78.71894174, 40.491274907]}",16,1228,20,23,2
30,County,Dauphin,All,All (12 to 100 years),2018,2018 Annual,7530,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,22,22,42,043,40.41974636,-76.77960568,"{'type': 'Point', 'coordinates': [-76.77960568, 40.41974636]}",23,2368,41,25,18
31,County,Jefferson,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,33,33,42,065,41.131390912,-79.00101814,"{'type': 'Point', 'coordinates': [-79.00101814, 41.131390912]}",14,1361,16,107,20
32,County,Chester,All,All (12 to 100 years),2016,2016 Annual,7434,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,15,15,42,029,39.974870557,-75.75626498,"{'type': 'Point', 'coordinates': [-75.75626498, 39.974870557]}",32,2415,147,69,6
33,County,Northampton,All,All (12 to 100 years),2019,2019 Annual,5214,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,48,48,42,095,40.754595404,-75.31263726,"{'type': 'Point', 'coordinates': [-75.31263726, 40.754595404]}",38,1339,113,280,59
34,County,Venango,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,61,61,42,121,41.403412586,-79.76286561,"{'type': 'Point', 'coordinates': [-79.76286561, 41.403412586]}",5,1400,45,71,50
35,County,Armstrong,All,All (12 to 100 years),2020,2020 Annual,1615,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,3,03,42,005,40.815095256,-79.47316899,"{'type': 'Point', 'coordinates': [-79.47316899, 40.815095256]}",15,834,11,106,41
36,County,Franklin,All,All (12 to 100 years),2016,2016 Annual,2213,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,28,28,42,055,39.92786197,-77.72398845,"{'type': 'Point', 'coordinates': [-77.72398845, 39.92786197]}",19,380,33,19,33
37,County,Clarion,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,16,16,42,031,41.192791288,-79.42483608,"{'type': 'Point', 'coordinates': [-79.42483608, 41.192791288]}",5,1081,24,46,7
38,County,Clearfield,All,All (12 to 100 years),2019,2019 Annual,948,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,17,17,42,033,41.000429002,-78.47558343,"{'type': 'Point', 'coordinates': [-78.47558343, 41.000429002]}",16,276,19,141,8
39,County,Mercer,All,All (12 to 100 years),2016,2016 Annual,2006,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,43,43,42,085,41.302377765,-80.26009411,"{'type': 'Point', 'coordinates': [-80.26009411, 41.302377765]}",3,1048,48,300,54
40,County,Bedford,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,5,05,42,009,40.007375364,-78.49116474,"{'type': 'Point', 'coordinates': [-78.49116474, 40.007375364]}",16,1549,31,3,43
41,County,Cumberland,All,All (12 to 100 years),2018,2018 Annual,3545,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,21,21,42,041,40.167598388,-77.26866271,"{'type': 'Point', 'coordinates': [-77.26866271, 40.167598388]}",20,2128,40,146,17
42,County,Snyder,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,55,55,42,109,40.771137369,-77.07255968,"{'type': 'Point', 'coordinates': [-77.07255968, 40.771137369]}",22,2255,72,254,65
43,County,Elk,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,24,24,42,047,41.428194161,-78.64947713,"{'type': 'Point', 'coordinates': [-78.64947713, 41.428194161]}",14,1258,15,405,29
44,County,Lehigh,All,All (12 to 100 years),2017,2017 Annual,6545,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,39,39,42,077,40.614647942,-75.60099481,"{'type': 'Point', 'coordinates': [-75.60099481, 40.614647942]}",36,506,115,336,26
45,County,Forest,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,27,27,42,053,41.513578758,-79.23780995,"{'type': 'Point', 'coordinates': [-79.23780995, 41.513578758]}",5,207,60,186,32
46,County,Luzerne,All,All (12 to 100 years),2020,2020 Annual,10046,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,40,40,42,079,41.178364388,-75.9919961,"{'type': 'Point', 'coordinates': [-75.9919961, 41.178364388]}",30,406,92,52,14
47,County,Jefferson,All,All (12 to 100 years),2018,2018 Annual,879,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,33,33,42,065,41.131390912,-79.00101814,"{'type': 'Point', 'coordinates': [-79.00101814, 41.131390912]}",14,1361,16,107,20
48,County,Fayette,All,All (12 to 100 years),2018,2018 Annual,3633,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,26,26,42,051,39.919447803,-79.65189635,"{'type': 'Point', 'coordinates': [-79.65189635, 39.919447803]}",1,435,8,204,31
49,County,Cambria,All,All (12 to 100 years),2016,2016 Annual,6461,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,11,11,42,021,40.491274907,-78.71894174,"{'type': 'Point', 'coordinates': [-78.71894174, 40.491274907]}",16,1228,20,23,2
50,County,Lawrence,All,All (12 to 100 years),2016,2016 Annual,2773,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,37,37,42,073,40.993250351,-80.33754114,"{'type': 'Point', 'coordinates': [-80.33754114, 40.993250351]}",2,622,22,231,27
51,County,Blair,All,All (12 to 100 years),2017,2017 Annual,2606,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,7,07,42,013,40.485550238,-78.34907687,"{'type': 'Point', 'coordinates': [-78.34907687, 40.485550238]}",17,294,28,268,46
52,County,Mifflin,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,44,44,42,087,40.61274928,-77.62003089,"{'type': 'Point', 'coordinates': [-77.62003089, 40.61274928]}",18,587,36,295,55
53,County,Bradford,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,8,08,42,015,41.79117814,-76.51825624,"{'type': 'Point', 'coordinates': [-76.51825624, 41.79117814]}",21,442,88,349,34
54,County,Wyoming,All,All (12 to 100 years),2017,2017 Annual,606,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,66,66,42,131,41.51892488,-76.01813003,"{'type': 'Point', 'coordinates': [-76.01813003, 41.51892488]}",29,2460,91,444,11
55,County,Westmoreland,All,All (12 to 100 years),2018,2018 Annual,9200,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,65,65,42,129,40.310314999,-79.47134118,"{'type': 'Point', 'coordinates': [-79.47134118, 40.310314999]}",13,2447,6,209,24
56,County,Northumberland,All,All (12 to 100 years),2019,2019 Annual,3255,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,49,49,42,097,40.851509257,-76.71188423,"{'type': 'Point', 'coordinates': [-76.71188423, 40.851509257]}",22,2094,73,375,60
57,County,Northampton,All,All (12 to 100 years),2016,2016 Annual,5222,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,48,48,42,095,40.754595404,-75.31263726,"{'type': 'Point', 'coordinates': [-75.31263726, 40.754595404]}",38,1339,113,280,59
58,State,Commonwealth,All,55 to 64 years,2020,2020 Annual,52355,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
59,State,Commonwealth,Female,All (12 to 100 years),2017,2017 Annual,88264,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
60,County,Cumberland,All,All (12 to 100 years),2019,2019 Annual,2876,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,21,21,42,041,40.167598388,-77.26866271,"{'type': 'Point', 'coordinates': [-77.26866271, 40.167598388]}",20,2128,40,146,17
61,County,Crawford,All,All (12 to 100 years),2016,2016 Annual,2213,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,20,20,42,039,41.685469069,-80.11321083,"{'type': 'Point', 'coordinates': [-80.11321083, 41.685469069]}",3,1995,47,344,16
62,County,Potter,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,53,53,42,105,41.744206438,-77.89879229,"{'type': 'Point', 'coordinates': [-77.89879229, 41.744206438]}",14,2155,14,58,63
63,County,Adams,All,All (12 to 100 years),2018,2018 Annual,1231,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,1,01,42,001,39.87209565,-77.22224271,"{'type': 'Point', 'coordinates': [-77.22224271, 39.87209565]}",19,1949,35,92,39
64,County,Clarion,All,All (12 to 100 years),2018,2018 Annual,791,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,16,16,42,031,41.192791288,-79.42483608,"{'type': 'Point', 'coordinates': [-79.42483608, 41.192791288]}",5,1081,24,46,7
65,County,Beaver,All,All (12 to 100 years),2020,2020 Annual,4007,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,4,04,42,007,40.683492455,-80.35107356,"{'type': 'Point', 'coordinates': [-80.35107356, 40.683492455]}",2,379,23,2,42
66,County,Tioga,All,All (12 to 100 years),2020,2020 Annual,628,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,59,59,42,117,41.773338336,-77.25788076,"{'type': 'Point', 'coordinates': [-77.25788076, 41.773338336]}",14,97,77,477,48
67,County,Northampton,All,All (12 to 100 years),2018,2018 Annual,5508,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,48,48,42,095,40.754595404,-75.31263726,"{'type': 'Point', 'coordinates': [-75.31263726, 40.754595404]}",38,1339,113,280,59
68,County,Carbon,All,All (12 to 100 years),2019,2019 Annual,2244,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,13,13,42,025,40.919367008,-75.71107039,"{'type': 'Point', 'coordinates': [-75.71107039, 40.919367008]}",30,688,108,199,4
69,County,Crawford,All,All (12 to 100 years),2017,2017 Annual,1212,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,20,20,42,039,41.685469069,-80.11321083,"{'type': 'Point', 'coordinates': [-80.11321083, 41.685469069]}",3,1995,47,344,16
70,State,Commonwealth,All,45 to 54 years,2019,2019 Annual,67559,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
71,County,Lackawanna,All,All (12 to 100 years),2017,2017 Annual,4727,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,35,35,42,069,41.439100643,-75.61218345,"{'type': 'Point', 'coordinates': [-75.61218345, 41.439100643]}",34,1283,125,253,22
72,County,Huntingdon,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,31,31,42,061,40.416105003,-77.9827661,"{'type': 'Point', 'coordinates': [-77.9827661, 40.416105003]}",17,1344,32,290,38
73,State,Commonwealth,All,45 to 54 years,2017,2017 Annual,59934,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
74,County,Lancaster,All,All (12 to 100 years),2020,2020 Annual,8821,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,36,36,42,071,40.045907962,-76.25138768,"{'type': 'Point', 'coordinates': [-76.25138768, 40.045907962]}",25,222,144,74,23
75,County,Venango,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,61,61,42,121,41.403412586,-79.76286561,"{'type': 'Point', 'coordinates': [-79.76286561, 41.403412586]}",5,1400,45,71,50
76,County,Luzerne,All,All (12 to 100 years),2019,2019 Annual,10744,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,40,40,42,079,41.178364388,-75.9919961,"{'type': 'Point', 'coordinates': [-75.9919961, 41.178364388]}",30,406,92,52,14
77,County,Pike,All,All (12 to 100 years),2016,2016 Annual,915,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,52,52,42,103,41.332571995,-75.03270924,"{'type': 'Point', 'coordinates': [-75.03270924, 41.332571995]}",29,1997,109,169,62
78,County,Susquehanna,All,All (12 to 100 years),2018,2018 Annual,733,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,58,58,42,115,41.820568598,-75.80250303,"{'type': 'Point', 'coordinates': [-75.80250303, 41.820568598]}",21,2466,89,321,44
79,County,Potter,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,53,53,42,105,41.744206438,-77.89879229,"{'type': 'Point', 'coordinates': [-77.89879229, 41.744206438]}",14,2155,14,58,63
80,County,Montgomery,All,All (12 to 100 years),2017,2017 Annual,11605,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,46,46,42,091,40.209898739,-75.37252001,"{'type': 'Point', 'coordinates': [-75.37252001, 40.209898739]}",33,1082,152,249,57
81,County,Armstrong,All,All (12 to 100 years),2017,2017 Annual,2060,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,3,03,42,005,40.815095256,-79.47316899,"{'type': 'Point', 'coordinates': [-79.47316899, 40.815095256]}",15,834,11,106,41
82,County,Montour,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,47,47,42,093,41.028018244,-76.66470527,"{'type': 'Point', 'coordinates': [-76.66470527, 41.028018244]}",22,963,54,64,58
83,County,Greene,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,30,30,42,059,39.854803934,-80.22943817,"{'type': 'Point', 'coordinates': [-80.22943817, 39.854803934]}",12,1570,1,481,37
84,County,Armstrong,All,All (12 to 100 years),2019,2019 Annual,1706,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,3,03,42,005,40.815095256,-79.47316899,"{'type': 'Point', 'coordinates': [-79.47316899, 40.815095256]}",15,834,11,106,41
85,State,Commonwealth,Female,All (12 to 100 years),2016,2016 Annual,90211,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
86,County,Erie,All,All (12 to 100 years),2019,2019 Annual,4677,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,25,25,42,049,41.99413787,-80.0407591,"{'type': 'Point', 'coordinates': [-80.0407591, 41.99413787]}",3,1153,52,163,30
87,State,Commonwealth,All,15 to 24 years,2020,2020 Annual,12020,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
88,County,Westmoreland,All,All (12 to 100 years),2016,2016 Annual,13836,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,65,65,42,129,40.310314999,-79.47134118,"{'type': 'Point', 'coordinates': [-79.47134118, 40.310314999]}",13,2447,6,209,24
89,County,Mercer,All,All (12 to 100 years),2018,2018 Annual,3750,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,43,43,42,085,41.302377765,-80.26009411,"{'type': 'Point', 'coordinates': [-80.26009411, 41.302377765]}",3,1048,48,300,54
90,County,York,All,All (12 to 100 years),2019,2019 Annual,7710,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,67,67,42,133,39.921925312,-76.72576052,"{'type': 'Point', 'coordinates': [-76.72576052, 39.921925312]}",24,470,136,43,12
91,County,Pike,All,All (12 to 100 years),2019,2019 Annual,1169,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,52,52,42,103,41.332571995,-75.03270924,"{'type': 'Point', 'coordinates': [-75.03270924, 41.332571995]}",29,1997,109,169,62
92,State,Commonwealth,Male,All (12 to 100 years),2019,2019 Annual,220852,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
93,State,Commonwealth,All,35 to 44 years,2016,2016 Annual,68177,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
94,County,Bradford,All,All (12 to 100 years),2019,2019 Annual,1011,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,8,08,42,015,41.79117814,-76.51825624,"{'type': 'Point', 'coordinates': [-76.51825624, 41.79117814]}",21,442,88,349,34
95,County,Philadelphia,All,All (12 to 100 years),2016,2016 Annual,49472,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,51,51,42,101,40.004443538,-75.140236,"{'type': 'Point', 'coordinates': [-75.140236, 40.004443538]}",46,1069,182,365,13
96,County,Washington,All,All (12 to 100 years),2020,2020 Annual,5920,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,63,63,42,125,40.191096635,-80.25180083,"{'type': 'Point', 'coordinates': [-80.25180083, 40.191096635]}",12,1132,4,351,52
97,County,Huntingdon,All,All (12 to 100 years),2017,2017 Annual,848,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,31,31,42,061,40.416105003,-77.9827661,"{'type': 'Point', 'coordinates': [-77.9827661, 40.416105003]}",17,1344,32,290,38
98,County,Greene,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,30,30,42,059,39.854803934,-80.22943817,"{'type': 'Point', 'coordinates': [-80.22943817, 39.854803934]}",12,1570,1,481,37
99,State,Commonwealth,All,55 to 64 years,2017,2017 Annual,40358,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
