,Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
12,DDAP-Licensed Treatment Facility,Family and Community Service of Delaware County,600 North Olive Street,Delaware,610-566-7540,42,045,23,23,"{'latitude': '39.9241541', 'longitude': '-75.3896551', 'human_address': '{""address"": """", ""city"": ""Media"", ""state"": ""Pennsylvania"", ""zip"": ""19063""}'}",2336,380,63,39,28
13,DDAP-Licensed Treatment Facility,"The Frost Medical Group, LLC","10 East Sixth Avenue, Suite 200",Montgomery,610-567-0088,42,091,46,46,"{'latitude': '40.078003', 'longitude': '-75.30204', 'human_address': '{""address"": """", ""city"": ""Conshohocken"", ""state"": ""Pennsylvania"", ""zip"": ""19428""}'}",2306,150,173,43,57
14,DDAP-Licensed Treatment Facility,Malvern Institute,1161 East Lancaster Avenue,Chester,610-647-0330,42,029,15,15,"{'latitude': '40.04357', 'longitude': '-75.45254', 'human_address': '{""address"": """", ""city"": ""Berwyn"", ""state"": ""Pennsylvania"", ""zip"": ""19312""}'}",917,329,59,32,6
15,DDAP-Licensed Treatment Facility,"Step-By-Step, Inc.","375 Linden Street, Lower Level",Lehigh,610-776-1224,42,077,39,39,"{'latitude': '40.605686', 'longitude': '-75.46499', 'human_address': '{""address"": """", ""city"": ""Allentown"", ""state"": ""Pennsylvania"", ""zip"": ""18102""}'}",455,99,162,36,26
16,DDAP-Licensed Treatment Facility,Naaman Center,39 West Vine Street,Lancaster,717-394-5495,42,071,36,36,"{'latitude': '40.03622', 'longitude': '-76.30673', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17603""}'}",1993,89,143,25,23
17,DDAP-Licensed Treatment Facility,"St. Joseph Institute, LLC",134 Jacobs Way,Centre,814-692-4954,42,027,14,14,"{'latitude': '40.778095', 'longitude': '-78.178276', 'human_address': '{""address"": """", ""city"": ""Port Matilda"", ""state"": ""Pennsylvania"", ""zip"": ""16870""}'}",1056,449,32,18,5
18,DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services Gettysburg Psychiatric,334 York Street,Adams,717-337-0026,42,001,1,01,"{'latitude': '39.832157', 'longitude': '-77.224525', 'human_address': '{""address"": """", ""city"": ""Gettysburg"", ""state"": ""Pennsylvania"", ""zip"": ""17325""}'}",1635,92,35,19,39
19,DDAP-Licensed Treatment Facility,Clinical Outcomes Group Incorporated,437 North Centre Street,Schuylkill,570-628-6990,42,107,54,54,"{'latitude': '40.68877', 'longitude': '-76.197846', 'human_address': '{""address"": """", ""city"": ""Pottsville"", ""state"": ""Pennsylvania"", ""zip"": ""17901""}'}",1892,304,53,27,64
20,DDAP-Licensed Treatment Facility,White Deer Run of Williamsport,901 Westminster Drive,Lycoming,570-321-6127,42,081,41,41,"{'latitude': '41.2483502', 'longitude': '-76.9592818', 'human_address': '{""address"": """", ""city"": ""Williamsport"", ""state"": ""Pennsylvania"", ""zip"": ""17701""}'}",1530,225,76,21,15
21,DDAP-Licensed Treatment Facility,"Casa De Consejeria Y Salud Integral, Inc.",616 West Lehigh Avenue,Philadelphia,215-634-3259,42,101,51,51,"{'latitude': '39.992138', 'longitude': '-75.142801', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19133""}'}",1069,365,182,46,13
22,PacMAT,"Allegheny Health Network, AHN Allegheny Valley North-Saxonburg",333 W. Main St Suite 101,Allegheny,724-352-8422,42,003,2,02,"{'latitude': '40.750378', 'longitude': '-79.815708', 'human_address': '{""address"": """", ""city"": ""Saxonburg"", ""state"": ""Pennsylvania"", ""zip"": ""16056""}'}",230,389,10,15,1
23,DDAP-Licensed Treatment Facility,The Gate House for Women,465 West Main Street,Lancaster,717-285-2300,42,071,36,36,"{'latitude': '40.03766', 'longitude': '-76.443405', 'human_address': '{""address"": """", ""city"": ""Mountville"", ""state"": ""Pennsylvania"", ""zip"": ""17554""}'}",266,262,161,26,23
24,DDAP-Licensed Treatment Facility,The Empowerment Resurrection Center,"419 Avenue Of The States, Suite 405",Delaware,610-447-1600,42,045,23,23,"{'latitude': '39.848117', 'longitude': '-75.359438', 'human_address': '{""address"": """", ""city"": ""Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19013""}'}",2467,160,65,35,28
25,DDAP-Licensed Treatment Facility,"Dohi Center For Well-Being, LLC",1663 East Main Street,Franklin,717-473-4980,42,055,28,28,"{'latitude': '39.749693', 'longitude': '-77.564976', 'human_address': '{""address"": """", ""city"": ""Waynesboro"", ""state"": ""Pennsylvania"", ""zip"": ""17268""}'}",1390,442,33,19,33
26,DDAP-Licensed Treatment Facility,"Guidance For Growing, LLC","121 North Main Street, Suite 108A",Bucks,215-421-1634,42,017,9,09,"{'latitude': '40.310955', 'longitude': '-75.323156', 'human_address': '{""address"": """", ""city"": ""Souderton"", ""state"": ""Pennsylvania"", ""zip"": ""18964""}'}",1650,429,200,42,57
27,DDAP-Licensed Treatment Facility,White Deer Run of Allentown,"1259 South Cedar Crest Boulevard, Suite 308",Lehigh,610-432-5561,42,077,39,39,"{'latitude': '40.5644406', 'longitude': '-75.5169513', 'human_address': '{""address"": """", ""city"": ""Allentown"", ""state"": ""Pennsylvania"", ""zip"": ""18103""}'}",269,384,129,10,26
28,DDAP-Licensed Treatment Facility,"Forensic Counseling Associates, LLC",1385 Pocono Boulevard,Monroe,570-476-7704,42,089,45,45,"{'latitude': '41.123974', 'longitude': '-75.358154', 'human_address': '{""address"": """", ""city"": ""Mount Pocono"", ""state"": ""Pennsylvania"", ""zip"": ""18344""}'}",1027,362,121,38,56
29,DDAP-Licensed Treatment Facility,The National Academy,"2000 Hamilton Street, Suite C100A",Philadelphia,215-557-8295,42,101,51,51,"{'latitude': '39.9622043', 'longitude': '-75.1721077', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19130""}'}",1069,365,190,47,13
30,DDAP-Licensed Treatment Facility,Caron Treatment Centers - Detox Unit,"P.O. Box 150, Galen Hall Road, Bld 3300",Berks,610-678-2332,42,011,6,06,"{'latitude': '40.3132452', 'longitude': '-76.0919794', 'human_address': '{""address"": """", ""city"": ""Wernersville"", ""state"": ""Pennsylvania"", ""zip"": ""19565""}'}",1406,78,56,27,45
31,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. Re-Entry House",5401 Wayne Avenue,Philadelphia,215-438-5082,42,101,51,51,"{'latitude': '40.029571', 'longitude': '-75.174561', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19144""}'}",1069,365,177,46,13
32,DDAP-Licensed Treatment Facility,Penn Presbyterian Medical Center,"3910 Powelton Avenue, 5th Floor",Philadelphia,215-662-8884,42,101,51,51,"{'latitude': '39.958605', 'longitude': '-75.200757', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19104""}'}",1069,365,188,43,13
33,DDAP-Licensed Treatment Facility,Nulton Diagnostic & Treatment Center P.C.,214 College Park Plaza,Cambria,814-262-0025,42,021,11,11,"{'latitude': '40.2779473', 'longitude': '-78.8480949', 'human_address': '{""address"": """", ""city"": ""Johnstown"", ""state"": ""Pennsylvania"", ""zip"": ""15904""}'}",33,404,21,16,2
34,DDAP-Licensed Treatment Facility,"Crawford County Drug & Alcohol Executive Commission, Inc.","920 Water Street, Suite 17",Crawford,814-724-4100,42,039,20,20,"{'latitude': '41.6389162', 'longitude': '-80.1565559', 'human_address': '{""address"": """", ""city"": ""Meadville"", ""state"": ""Pennsylvania"", ""zip"": ""16335""}'}",1998,81,47,3,16
35,DDAP-Licensed Treatment Facility,"Mazzitti and Sullivan Counseling Services, Inc.",3207 North Front Street,Dauphin,717-901-5652,42,043,22,22,"{'latitude': '40.2990355', 'longitude': '-76.9038609', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17110""}'}",1625,182,42,23,18
36,DDAP-Licensed Treatment Facility,"Rehab Management, Inc.","9815 Roosevelt Boulevard, Suite B",Philadelphia,215-342-4400,42,101,51,51,"{'latitude': '40.085983', 'longitude': '-75.022114', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19114""}'}",1069,365,166,49,13
37,Center of Excellence,University of Pittsburg Physicians: General Internal Medicine Clinic - Oakland,200 Lothrop Street,Allegheny,412-692-4888,42,003,2,02,"{'latitude': '40.442839', 'longitude': '-79.961002', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15213""}'}",2158,324,106,11,40
38,DDAP-Licensed Treatment Facility,"New Insights II, Inc.",517 Carlisle Avenue,York,717-303-2035,42,133,67,67,"{'latitude': '39.960149', 'longitude': '-76.754443', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17404""}'}",1155,495,135,24,12
39,DDAP-Licensed Treatment Facility,PA Treatment and Healing,"2400 Stafford Avenue, Flex Building #1",Lackawanna,570-344-5960,42,069,35,35,"{'latitude': '41.37736', 'longitude': '-75.67422', 'human_address': '{""address"": """", ""city"": ""Scranton"", ""state"": ""Pennsylvania"", ""zip"": ""18505""}'}",1912,420,101,34,22
40,DDAP-Licensed Treatment Facility,New Directions Treatment Services,20-22 North Sixth Avenue,Berks,610-478-0646,42,011,6,06,"{'latitude': '40.33637', 'longitude': '-75.949615', 'human_address': '{""address"": """", ""city"": ""West Reading"", ""state"": ""Pennsylvania"", ""zip"": ""19611""}'}",1591,494,150,31,45
41,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. West Chester",1030 South Concord Road,Chester,610-399-6929,42,029,15,15,"{'latitude': '39.935205', 'longitude': '-75.572845', 'human_address': '{""address"": """", ""city"": ""West Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19382""}'}",181,480,148,35,6
42,DDAP-Licensed Treatment Facility,"White Deer Run, Inc.",1921 West 8th Street,Erie,814-452-2991,42,049,25,25,"{'latitude': '42.111368', 'longitude': '-80.126659', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16505""}'}",2182,61,50,4,30
43,DDAP-Licensed Treatment Facility,Rehab After Work,18 South George Street Suite 401,York,610-644-6464,42,133,67,67,"{'latitude': '39.929477', 'longitude': '-76.711851', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17401""}'}",470,43,136,24,12
44,Center of Excellence,"Total Wellness Center, LLC. Clean Slate",1020 West Lackawanna Avenue,Lackawanna,413-265-2607,42,069,35,35,"{'latitude': '41.414976', 'longitude': '-75.676332', 'human_address': '{""address"": """", ""city"": ""Scranton"", ""state"": ""Pennsylvania"", ""zip"": ""18504""}'}",1912,420,101,34,22
45,Center of Excellence,Penn Presbyterian Medical Center,5 N 39th Street,Philadelphia,215-573-8028 (office); 856-649-4598 (cell),42,101,51,51,"{'latitude': '39.957159', 'longitude': '-75.199637', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19104""}'}",1069,365,188,43,13
46,DDAP-Licensed Treatment Facility,"Malvern Institute For Psychiatric and Alcoholic Studies, Inc.",2092 Stefko Boulevard,Northampton,610-647-0330,42,077,39,39,"{'latitude': '40.642149', 'longitude': '-75.346417', 'human_address': '{""address"": """", ""city"": ""Bethlehem"", ""state"": ""Pennsylvania"", ""zip"": ""18017""}'}",2123,121,141,10,59
47,DDAP-Licensed Treatment Facility,"Montgomery County MH/MR Emergency Service, Inc.",50 Beech Drive Gate #4 Building #50,Montgomery,610-279-6100,42,091,46,46,"{'latitude': '40.1359286', 'longitude': '-75.355827', 'human_address': '{""address"": """", ""city"": ""Norristown"", ""state"": ""Pennsylvania"", ""zip"": ""19403""}'}",1034,301,174,33,57
48,DDAP-Licensed Treatment Facility,"Crossroads Counseling, Inc.","8 North Grove Street, Suite 4",Clinton,570-893-1886,42,035,18,18,"{'latitude': '41.13393', 'longitude': '-77.443585', 'human_address': '{""address"": """", ""city"": ""Lock Haven"", ""state"": ""Pennsylvania"", ""zip"": ""17745""}'}",1084,206,74,14,9
49,DDAP-Licensed Treatment Facility,Gaudenzia Together House,"1306 Spring Garden Street, 3rd & 4th & 6th Floors",Philadelphia,215-238-2163,42,101,51,51,"{'latitude': '39.9644541', 'longitude': '-75.145782', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19123""}'}",1069,365,194,47,13
50,DDAP-Licensed Treatment Facility,"Foundations Medical Services, LLC",160 Hindman Road,Butler,724-431-2006,42,019,10,10,"{'latitude': '40.9013998', 'longitude': '-79.9416549', 'human_address': '{""address"": """", ""city"": ""Butler"", ""state"": ""Pennsylvania"", ""zip"": ""16001""}'}",738,100,12,5,1
51,DDAP-Licensed Treatment Facility,"Discovery House, Inc.","2755 Philmont Avenue, Suite 115",Montgomery,215-947-4100,42,091,46,46,"{'latitude': '40.1379904', 'longitude': '-75.0727956', 'human_address': '{""address"": """", ""city"": ""Huntingdon Valley"", ""state"": ""Pennsylvania"", ""zip"": ""19006""}'}",851,108,172,42,57
52,Center of Excellence,Pennsylvania Counseling Services - York Psychiatric,128 North George Street,York,717-316-0763 ,42,133,67,67,"{'latitude': '39.964723', 'longitude': '-76.729155', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17402""}'}",1155,495,135,24,12
53,DDAP-Licensed Treatment Facility,Allegheny County Treatment Alternative Program,2410 Fifth Avenue,Allegheny,412-535-4343,42,003,2,02,"{'latitude': '40.4368367', 'longitude': '-79.9703609', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15213""}'}",2158,324,164,11,40
54,PacMAT,"UPMC Insurance Division, Gaudenzia Community House",521 W. 7th Street,Erie,814-459-5853,42,049,25,25,"{'latitude': '42.123977', 'longitude': '-80.096201', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16502""}'}",2182,61,50,4,30
55,PacMAT,"UPMC Insurance Division, Gaudenzia Crossroads Erie",414 W. 5th Street,Erie,814-459-4775,42,049,25,25,"{'latitude': '42.1273262', 'longitude': '-80.09535', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16507""}'}",2182,61,50,4,30
56,DDAP-Licensed Treatment Facility,Positive Pathways,1900 Murry Avenue,Allegheny,412-465-1050,42,003,2,02,"{'latitude': '40.435822', 'longitude': '-79.923166', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15217""}'}",2158,324,106,11,40
57,DDAP-Licensed Treatment Facility,Clem-Mar House Inc.,540-542 Main Street,Luzerne,570-288-0403,42,079,40,40,"{'latitude': '41.2657646', 'longitude': '-75.9067339', 'human_address': '{""address"": """", ""city"": ""Edwardsville"", ""state"": ""Pennsylvania"", ""zip"": ""18704""}'}",2527,493,98,30,14
58,DDAP-Licensed Treatment Facility,"Crossroads Counseling, Inc.",501 East Third Street,Lycoming,570-323-7535,42,081,41,41,"{'latitude': '41.2443337', 'longitude': '-76.9940466', 'human_address': '{""address"": """", ""city"": ""Williamsport"", ""state"": ""Pennsylvania"", ""zip"": ""17701""}'}",1903,441,76,21,15
59,DDAP-Licensed Treatment Facility,Pyramid Healthcare - Altoona Outpatient,"2525 9th Avenue, Suite 2B",Blair,814-204-0066,42,013,7,07,"{'latitude': '40.50795', 'longitude': '-78.40017', 'human_address': '{""address"": """", ""city"": ""Altoona"", ""state"": ""Pennsylvania"", ""zip"": ""16602""}'}",52,101,29,17,46
60,DDAP-Licensed Treatment Facility,"T.W. Ponessa & Associates Counseling Services, Inc.",15 South Ninth Street,Lebanon,717-273-5992,42,075,38,38,"{'latitude': '40.33856', 'longitude': '-76.4266237', 'human_address': '{""address"": """", ""city"": ""Lebanon"", ""state"": ""Pennsylvania"", ""zip"": ""17042""}'}",203,310,151,28,25
61,DDAP-Licensed Treatment Facility,"Crossroads Counseling, Inc.",1873 Shumway Hill Road,Tioga,570-323-7535,42,117,59,59,"{'latitude': '41.741295', 'longitude': '-77.27014', 'human_address': '{""address"": """", ""city"": ""Wellsboro"", ""state"": ""Pennsylvania"", ""zip"": ""16901""}'}",97,477,77,14,48
62,DDAP-Licensed Treatment Facility,North Philadelphia Health System DD/FIR,"801 West Girard Avenue, GMC Building, 4th Floor & 4 A, D, C",Philadelphia,215-787-2468,42,101,51,51,"{'latitude': '39.9711298', 'longitude': '-75.1496002', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19122""}'}",1069,365,194,47,13
63,DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services Lancaster City,40 Pearl Street,Lancaster,717-397-8081,42,071,36,36,"{'latitude': '40.03727', 'longitude': '-76.321976', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17603""}'}",1993,89,143,25,23
64,Center of Excellence,"The CARE Center, Inc.",75 East Maiden Street,Washington,1-888-810-8595 ,42,125,63,63,"{'latitude': '40.168557', 'longitude': '-80.242815', 'human_address': '{""address"": """", ""city"": ""Washington"", ""state"": ""Pennsylvania"", ""zip"": ""15301""}'}",2097,455,4,12,52
65,DDAP-Licensed Treatment Facility,Kirkbride Center,111 North 49 Street,Philadelphia,215-471-2600,42,101,51,51,"{'latitude': '39.9600168', 'longitude': '-75.2274866', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19139""}'}",1069,365,188,43,13
66,DDAP-Licensed Treatment Facility,RHD Healing Ajax,3300 Henry Avenue,Philadelphia,215-438-4676,42,101,51,51,"{'latitude': '40.01173', 'longitude': '-75.184536', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19129""}'}",1069,365,181,43,13
67,DDAP-Licensed Treatment Facility,Mirmont Outpatient Services,600 Abbott Drive,Delaware,484-476-6543,42,045,23,23,"{'latitude': '39.960635', 'longitude': '-75.33669', 'human_address': '{""address"": """", ""city"": ""Broomall"", ""state"": ""Pennsylvania"", ""zip"": ""19008""}'}",1674,236,62,39,28
68,DDAP-Licensed Treatment Facility,"James A. Casey House, LLC",199-207 South Main Street,Luzerne,570-822-9011,42,079,40,40,"{'latitude': '41.2419889', 'longitude': '-75.8888854', 'human_address': '{""address"": """", ""city"": ""Wilkes Barre"", ""state"": ""Pennsylvania"", ""zip"": ""18701""}'}",1517,453,99,30,14
69,DDAP-Licensed Treatment Facility,"Northern Tier Counseling, Inc.",24727 Route 6,Bradford,570-265-0100,42,015,8,08,"{'latitude': '41.767575', 'longitude': '-76.4427188', 'human_address': '{""address"": """", ""city"": ""Towanda"", ""state"": ""Pennsylvania"", ""zip"": ""18848""}'}",18,349,88,21,34
70,DDAP-Licensed Treatment Facility,"Cora Services, Inc.",8540 Verree Road,Philadelphia,215-342-7660,42,101,51,51,"{'latitude': '40.0815149', 'longitude': '-75.0681876', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19111""}'}",1069,365,123,48,13
71,DDAP-Licensed Treatment Facility,Turning Point II,"Millcraft Center, Suite 510",Washington,724-222-0112,42,125,63,63,"{'latitude': '40.171694', 'longitude': '-80.247153', 'human_address': '{""address"": """", ""city"": ""Washington"", ""state"": ""Pennsylvania"", ""zip"": ""15301""}'}",2097,455,4,12,52
72,DDAP-Licensed Treatment Facility,"Libertae Family House Libertae, Inc.",5245 Bensalem Boulevard,Bucks,215-639-8681,42,017,9,09,"{'latitude': '40.1143818', 'longitude': '-74.9085636', 'human_address': '{""address"": """", ""city"": ""Bensalem"", ""state"": ""Pennsylvania"", ""zip"": ""19020""}'}",224,6,119,50,35
73,DDAP-Licensed Treatment Facility,Cornell Abraxas I,165 Abraxas Road,Forest,814-927-6615,42,053,27,27,"{'latitude': '41.469147', 'longitude': '-79.123501', 'human_address': '{""address"": """", ""city"": ""Marienville"", ""state"": ""Pennsylvania"", ""zip"": ""16239""}'}",1336,186,24,5,32
74,DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",2705 Old Bethlehem Pike,Bucks,215-536-9070,42,017,9,09,"{'latitude': '40.4037763', 'longitude': '-75.3334916', 'human_address': '{""address"": """", ""city"": ""Quakertown"", ""state"": ""Pennsylvania"", ""zip"": ""18951""}'}",1521,345,128,40,35
75,DDAP-Licensed Treatment Facility,"Human Services Administration Organization, Inc.",101 Bellevue Road-Suite 300,Allegheny,412-942-0789,42,003,2,02,"{'latitude': '40.514299', 'longitude': '-80.030732', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15229""}'}",2105,315,163,9,40
76,DDAP-Licensed Treatment Facility,Schuylkill Health System Center for Counseling Services,"502 South 2nd Street, Suite A",Schuylkill,570-622-5898,42,107,54,54,"{'latitude': '40.71414', 'longitude': '-76.18652', 'human_address': '{""address"": """", ""city"": ""Saint Clair"", ""state"": ""Pennsylvania"", ""zip"": ""17970""}'}",2446,381,53,27,64
77,DDAP-Licensed Treatment Facility,New Journeys In Recovery,"166 West Lehigh Avenue, Suite 102",Philadelphia,215-634-3669,42,101,51,51,"{'latitude': '39.99105', 'longitude': '-75.1341128', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19133""}'}",1069,365,182,48,13
78,DDAP-Licensed Treatment Facility,Gateway Rehabilitation Center - Mount Pleasant,508 South Church Suite 201,Westmoreland,724-365-4020,42,129,65,65,"{'latitude': '40.145263', 'longitude': '-79.549922', 'human_address': '{""address"": """", ""city"": ""Mount Pleasant"", ""state"": ""Pennsylvania"", ""zip"": ""15666""}'}",2370,276,86,1,24
79,DDAP-Licensed Treatment Facility,Gaudenzia Inc. Fulton County Outpatient,201 Lincoln Highway West Suite 105,Fulton,717-847-2432,42,057,29,29,"{'latitude': '39.932589', 'longitude': '-77.998891', 'human_address': '{""address"": """", ""city"": ""Mcconnellsburg"", ""state"": ""Pennsylvania"", ""zip"": ""17233""}'}",2567,26,31,17,36
80,DDAP-Licensed Treatment Facility,"Familylinks, Inc.",843 Climax Street,Allegheny,412-381-8230,42,003,2,02,"{'latitude': '40.4200044', 'longitude': '-79.9932608', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15210""}'}",2158,324,164,6,40
81,DDAP-Licensed Treatment Facility,Truenorth Wellness Services,625 West Elm Avenue,York,717-632-4900,42,133,67,67,"{'latitude': '39.809094', 'longitude': '-76.999182', 'human_address': '{""address"": """", ""city"": ""Hanover"", ""state"": ""Pennsylvania"", ""zip"": ""17331""}'}",1941,20,120,19,12
82,DDAP-Licensed Treatment Facility,NHS Stevens Center,33 State Avenue,Cumberland,717-243-6033,42,041,21,21,"{'latitude': '40.181297', 'longitude': '-77.18948', 'human_address': '{""address"": """", ""city"": ""Carlisle"", ""state"": ""Pennsylvania"", ""zip"": ""17013""}'}",388,393,197,20,17
