,Drug Take-Back Site,Address,City,State,Zip Code,County,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Grant Owned,Status,Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries,US House Districts for PA 2019,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Phone Number,Hours of Availability,Box Status,Attention
22,Penn Medicine University City Apothecary,3737 Market Street,Philadelphia,PA,19104,Philadelphia,"{'latitude': '39.956525', 'longitude': '-75.196853', 'human_address': '{""address"": ""3737 Market Street"", ""city"": ""Philadelphia"", ""state"": ""PA"", ""zip"": ""19104""}'}","{'type': 'Point', 'coordinates': [-75.197491, 39.956983]}",39.956983,-75.197491,No,Active,43,13,6,1069,365,188,215-294-9393,8:30 am to 5 Pm Monday through Friday,Pharmacy,Manager-Lori Ribecchi
23,ST MARGARET MEMORIAL HOSPITAL,815 FREEPORT RD,PITTSBURGH,PA,15215,Allegheny,"{'latitude': '40.487527', 'longitude': '-79.896237', 'human_address': '{""address"": ""815 FREEPORT RD"", ""city"": ""PITTSBURGH"", ""state"": ""PA"", ""zip"": ""15215""}'}","{'type': 'Point', 'coordinates': [-79.896111, 40.489138]}",40.489138,-79.896111,No,Active,9,40,10,2158,324,104,,,Pharmacy,
24,California University Public Safety,250 University Avenue,California,PA,15419,Washington,"{'latitude': '40.065964', 'longitude': '-79.886501', 'human_address': '{""address"": ""250 University Avenue"", ""city"": ""California"", ""state"": ""PA"", ""zip"": ""15419""}'}","{'type': 'Point', 'coordinates': [-79.8842588, 40.0643283]}",40.0643283,-79.8842588,Yes,Active,12,52,9,2234,115,5,(724)938-4299,M-F 8:30-4:30,Operational,Chief Ed McSheffery
25,Montoursville Police Dept.,617 North Loyalsock Avenue,Montoursville,PA,17754,Lycoming,"{'latitude': '41.257489', 'longitude': '-76.921966', 'human_address': '{""address"": ""617 North Loyalsock Avenue"", ""city"": ""Montoursville"", ""state"": ""PA"", ""zip"": ""17754""}'}","{'type': 'Point', 'coordinates': [-76.9220663, 41.2579235]}",41.2579235,-76.9220663,Yes,Active,21,15,2,2480,333,75,(570)368-2488,M-F 8-4:30,Operational,Chief Jeffrey T. Gyurina
26,HEALTH SPECTRUM PHARMACY SERVICES POCONO,"206 E. BROWN ST., 1ST FLOOR",EAST STROUDSBURG,PA,18301,Monroe,"{'latitude': '40.992284', 'longitude': '-75.174327', 'human_address': '{""address"": ""206 E. BROWN ST., 1ST FLOOR"", ""city"": ""EAST STROUDSBURG"", ""state"": ""PA"", ""zip"": ""18301""}'}","{'type': 'Point', 'coordinates': [-75.175317, 40.993141]}",40.993141,-75.175317,No,Active,38,56,12,1043,193,110,,,Pharmacy,
27,Lehigh Township Police Dept.,1043 Municipal Road,Walnutport,PA,18088,Northampton,"{'latitude': '40.77375', 'longitude': '-75.552079', 'human_address': '{""address"": ""1043 Municipal Road"", ""city"": ""Walnutport"", ""state"": ""PA"", ""zip"": ""18088""}'}","{'type': 'Point', 'coordinates': [-75.551284, 40.774791]}",40.774791,-75.551284,Yes,Active,38,59,12,1838,245,115,(610)760-8800,,Operational,Chief Scott Fogel
28,Cumberland County Courthouse,One Courthouse Square,Carlisle,PA,17013,Cumberland,,"{'type': 'Point', 'coordinates': [-77.1897934, 40.2014815]}",40.2014815,-77.1897934,Yes,Active,,,16,,,,(717)240-6392,"M-F, 8am-4:30pm",Operational,Sheriff Ronny R. Anderson
29,North Strabane Police Dept.,1929 Route 519 South,Canonsburg,PA,15317,Washington,"{'latitude': '40.233923', 'longitude': '-80.168443', 'human_address': '{""address"": ""1929 Route 519 South"", ""city"": ""Canonsburg"", ""state"": ""PA"", ""zip"": ""15317""}'}","{'type': 'Point', 'coordinates': [-80.1693262, 40.236146]}",40.236146,-80.1693262,Yes,Active,12,52,9,2248,94,4,(724)746-8474,M-F 8-4:30,Operational,Chief Daniel Strimel
30,Philadelphia Police Dept.-5th Police District,Ridge & Cinnaminson Sts.,Philadelphia,PA,19128,Philadelphia,"{'latitude': '40.040259', 'longitude': '-75.22435', 'human_address': '{""address"": ""Ridge & Cinnaminson Sts."", ""city"": ""Philadelphia"", ""state"": ""PA"", ""zip"": ""19128""}'}","{'type': 'Point', 'coordinates': [-75.22438, 40.040221]}",40.040221,-75.22438,Yes,Active,46,13,6,1069,365,181,(215)686-3050,,Operational,Capt. John Cerrone
31,Township of Derry Police Dept.,620 Clearwater Road,Hershey,PA,17033,Dauphin,"{'latitude': '40.284596', 'longitude': '-76.68163', 'human_address': '{""address"": ""620 Clearwater Road"", ""city"": ""Hershey"", ""state"": ""PA"", ""zip"": ""17033""}'}","{'type': 'Point', 'coordinates': [-76.6815236, 40.2829567]}",40.2829567,-76.6815236,Yes,Active,23,18,16,280,66,69,(717)534-2202,24 hours a day/7 days a week,Operational,"Chief Patrick M. O'Rourke, Sr."
32,Centerville Borough Police Dept.,100 East End Road,Brownsville,PA,15417,Washington,"{'latitude': '40.029159', 'longitude': '-79.917342', 'human_address': '{""address"": ""100 East End Road"", ""city"": ""Brownsville"", ""state"": ""PA"", ""zip"": ""15417""}'}","{'type': 'Point', 'coordinates': [-79.917639, 40.028907]}",40.028907,-79.917639,Yes,Active,12,52,9,2282,122,1,(724)785-9210,"M-F, 8am-3pm",ordered 4-26-16,Chief Joseph Sekora
33,State Police-Troop C / Ridgway,48 Servidea Dr.,Ridgway,PA,15853,Elk,"{'latitude': '41.402664', 'longitude': '-78.702569', 'human_address': '{""address"": ""48 Servidea Dr."", ""city"": ""Ridgway"", ""state"": ""PA"", ""zip"": ""15853""}'}","{'type': 'Point', 'coordinates': [-78.702564, 41.403797]}",41.403797,-78.702564,No,Active,14,29,3,1258,405,15,,,,
34,CVS #5095,124 ERIE ST.,EDINBORO,PA,16412,"ERIE,PA","{'latitude': '41.875563', 'longitude': '-80.131769', 'human_address': '{""address"": ""124 ERIE ST."", ""city"": ""EDINBORO"", ""state"": ""PA"", ""zip"": ""16412""}'}","{'type': 'Point', 'coordinates': [-80.131038, 41.875403]}",41.875403,-80.131038,No,Active,3,30,11,2386,91,49,8147345207,Follows Pharmacy Hours of Operation,Pharmacy,
35,East Hempfield Township Police Dept.,1700 Nissley Road,Landisville,PA,17538,Lancaster,"{'latitude': '40.094956', 'longitude': '-76.399983', 'human_address': '{""address"": ""1700 Nissley Road"", ""city"": ""Landisville"", ""state"": ""PA"", ""zip"": ""17538""}'}","{'type': 'Point', 'coordinates': [-76.396625, 40.094147]}",40.094147,-76.396625,Yes,Active,26,23,15,1382,262,161,(717)898-3103,M-F 8-4,Operational,Chief Stephen A. Skiles
36,Frackville Police Dept.,42 S. Center Street,Frackville,PA,17931,Schuylkill,"{'latitude': '40.783261', 'longitude': '-76.234536', 'human_address': '{""address"": ""42 S. Center Street"", ""city"": ""Frackville"", ""state"": ""PA"", ""zip"": ""17931""}'}","{'type': 'Point', 'coordinates': [-76.234775, 40.783122]}",40.783122,-76.234775,Yes,Active,27,64,1,1772,316,53,(570)874-0238,,,Chief Richard Bell
37,Summit Health Pharmacy,3400 Edgmont Ave,Brookhaven,PA,19015,Delaware,"{'latitude': '39.870487', 'longitude': '-75.384597', 'human_address': '{""address"": ""3400 Edgmont Ave"", ""city"": ""Brookhaven"", ""state"": ""PA"", ""zip"": ""19015""}'}","{'type': 'Point', 'coordinates': [-75.383576, 39.870354]}",39.870354,-75.383576,No,Active,35,28,18,1894,338,66,(610) 872-5418,,Pharmacy,Vince
38,Aliquippa Police Dept.,300 Franklin Avenue,Aliquippa,PA,15001,Beaver,"{'latitude': '40.61766', 'longitude': '-80.24603', 'human_address': '{""address"": ""300 Franklin Avenue"", ""city"": ""Aliquippa"", ""state"": ""PA"", ""zip"": ""15001""}'}","{'type': 'Point', 'coordinates': [-80.246211, 40.617915]}",40.617915,-80.246211,No,Active,12,42,17,151,7,156,,,CVS owned,
39,Westmoreland County Park Police,2 North Main Street,Greensburg,PA,15601,Westmoreland,"{'latitude': '40.302844', 'longitude': '-79.544378', 'human_address': '{""address"": ""2 North Main Street"", ""city"": ""Greensburg"", ""state"": ""PA"", ""zip"": ""15601""}'}","{'type': 'Point', 'coordinates': [-79.5452777, 40.303166]}",40.303166,-79.5452777,Yes,Active,13,24,9,2380,214,81,(724)830-3469,24 hours/7days a week.,Operational,Chief Nicholas S. Caesar
40,McAdoo Police Dept.,23 North Hancock Street,McAdoo,PA,18237,Schuylkill,"{'latitude': '40.903104', 'longitude': '-75.994821', 'human_address': '{""address"": ""23 North Hancock Street"", ""city"": ""McAdoo"", ""state"": ""PA"", ""zip"": ""18237""}'}","{'type': 'Point', 'coordinates': [-75.9949203, 40.9026765]}",40.9026765,-75.9949203,Yes,Active,27,64,1,2335,261,55,5709292590,,Operational,Chief Jeffrey Wainwright
41,Chalfont Borough Police,40 North Main St.,Chalfont,PA,18914,Bucks,"{'latitude': '40.286983', 'longitude': '-75.208777', 'human_address': '{""address"": ""40 North Main St."", ""city"": ""Chalfont"", ""state"": ""PA"", ""zip"": ""18914""}'}","{'type': 'Point', 'coordinates': [-75.208977, 40.286861]}",40.286861,-75.208977,No,Active,40,35,4,1271,22,149,(215) 345-4143,,Operational,
42,"CVS PHARMACY, L.L.C. # 02074 (PHILADELPHIA)",4133 G ST.,PHILADELPHIA,PA,19124,Philadelphia,"{'latitude': '40.011611', 'longitude': '-75.112273', 'human_address': '{""address"": ""4133 G ST."", ""city"": ""PHILADELPHIA"", ""state"": ""PA"", ""zip"": ""19124""}'}","{'type': 'Point', 'coordinates': [-75.111756, 40.011558]}",40.011558,-75.111756,No,Active,48,13,5,1069,365,185,,,Pharmacy,
43,Jefferson Bucks Hospital Main Lobby,380 North Oxford Valley Road,Langhorne,PA,19047,Bucks,"{'latitude': '40.180141', 'longitude': '-74.870047', 'human_address': '{""address"": ""380 North Oxford Valley Road"", ""city"": ""Langhorne"", ""state"": ""PA"", ""zip"": ""19047""}'}","{'type': 'Point', 'coordinates': [-74.8668025, 40.1830762]}",40.1830762,-74.8668025,No,Active,50,35,4,391,284,169,,,active,
44,Whitpain Township Police Department,960 Wentz Road,Blue Bell,PA,19422,Montgomery,"{'latitude': '40.162298', 'longitude': '-75.285844', 'human_address': '{""address"": ""960 Wentz Road"", ""city"": ""Blue Bell"", ""state"": ""PA"", ""zip"": ""19422""}'}","{'type': 'Point', 'coordinates': [-75.285038, 40.16179]}",40.16179,-75.285038,Yes,Active,41,57,8,1276,487,153,(610)279-9033,24 hours a day/ 7 days a week,Operational,Chief Mark Smith
45,Lykens Borough Police Dept.,200 Main Street,Lykens,PA,17048,Dauphin,"{'latitude': '40.567241', 'longitude': '-76.709164', 'human_address': '{""address"": ""200 Main Street"", ""city"": ""Lykens"", ""state"": ""PA"", ""zip"": ""17048""}'}","{'type': 'Point', 'coordinates': [-76.7100761, 40.5672596]}",40.5672596,-76.7100761,Yes,Active,23,18,16,2193,403,127,(717)453-7001,M-F 7am-3pm by appt.w/ Ofcr. Paul Davis; No holidays.,Operational,Chief Michael Ecker
46,South Williamsport Police Dept.,329-331 West Southern Ave.,South Williamsport,PA,17702,Lycoming,"{'latitude': '41.232109', 'longitude': '-76.998723', 'human_address': '{""address"": ""329-331 West Southern Ave."", ""city"": ""South Williamsport"", ""state"": ""PA"", ""zip"": ""17702""}'}","{'type': 'Point', 'coordinates': [-76.9982828, 41.2322353]}",41.2322353,-76.9982828,Yes,Active,21,15,2,1615,468,76,(570)327-8152,M-F 8:30-4:30,Operational,Chief Robert Hetner
47,Newton Township Police Department,209 Bishop Hollow Rd,Newtown Square,PA,19073,Delaware,"{'latitude': '39.980301', 'longitude': '-75.407388', 'human_address': '{""address"": ""209 Bishop Hollow Rd"", ""city"": ""Newtown Square"", ""state"": ""PA"", ""zip"": ""19073""}'}","{'type': 'Point', 'coordinates': [-75.4078318, 39.9806649]}",39.9806649,-75.4078318,No,Active,39,28,18,403,236,63,,Please contact location,Operational,
48,Rostraver Township Police Dept.,205 Municipal Drive,Belle Vernon,PA,15012,Westmoreland,"{'latitude': '40.164876', 'longitude': '-79.773215', 'human_address': '{""address"": ""205 Municipal Drive"", ""city"": ""Belle Vernon"", ""state"": ""PA"", ""zip"": ""15012""}'}","{'type': 'Point', 'coordinates': [-79.7741693, 40.1645239]}",40.1645239,-79.7741693,Yes,Active,1,24,9,1145,4,86,(724)929-8811,M-F 8:00 a.m.-4:00 p.m.,Operational,Chief Gregory C. Resetar
49,Doylestown Township Police,425 Wells Road,Doylestown,PA,18901,Bucks,"{'latitude': '40.282589', 'longitude': '-75.136083', 'human_address': '{""address"": ""425 Wells Road"", ""city"": ""Doylestown"", ""state"": ""PA"", ""zip"": ""18901""}'}","{'type': 'Point', 'coordinates': [-75.1359267, 40.2829774]}",40.2829774,-75.1359267,No,Active,40,35,4,1410,22,145,(215)348-4201,M-F 8:00-4:30,Operational,
50,State Police-Troop B / Waynesburg,255 Elm Dr.,Waynesburg,PA,15370,Greene,"{'latitude': '39.89578', 'longitude': '-80.146733', 'human_address': '{""address"": ""255 Elm Dr."", ""city"": ""Waynesburg"", ""state"": ""PA"", ""zip"": ""15370""}'}","{'type': 'Point', 'coordinates': [-80.146717, 39.895794]}",39.895794,-80.146717,No,Active,12,37,9,141,27,1,,,,
51,CVS #1901,35 N. MAIN ST.,BANGOR,PA,18013,"NORTHAMPTON,PA","{'latitude': '40.867537', 'longitude': '-75.204752', 'human_address': '{""address"": ""35 N. MAIN ST."", ""city"": ""BANGOR"", ""state"": ""PA"", ""zip"": ""18013""}'}","{'type': 'Point', 'coordinates': [-75.203873, 40.867834]}",40.867834,-75.203873,No,Active,38,59,12,1847,118,113,6105889425,Follows Pharmacy Hours of Operation,Pharmacy,
52,Radnor Township Police Department,301 Iven Avenue,Wayne,PA,19097,Delaware,"{'latitude': '40.037779', 'longitude': '-75.372259', 'human_address': '{""address"": ""301 Iven Avenue"", ""city"": ""Wayne"", ""state"": ""PA"", ""zip"": ""19097""}'}","{'type': 'Point', 'coordinates': [-75.3729376, 40.0363291]}",40.0363291,-75.3729376,No,Active,41,28,18,2303,378,175,(610)688-0503,M-F 8-4,Operational,
53,West Newton Police Dept.,112 South Water Street,West Newton,PA,15089,Westmoreland,"{'latitude': '40.209944', 'longitude': '-79.768431', 'human_address': '{""address"": ""112 South Water Street"", ""city"": ""West Newton"", ""state"": ""PA"", ""zip"": ""15089""}'}","{'type': 'Point', 'coordinates': [-79.7682, 40.209749]}",40.209749,-79.7682,Yes,Active,13,24,9,666,497,86,(724)872-8610,,,Chief Gary F. Indof
54,Altoona Police Dept.,1106 16th Street,Altoona,PA,16601,Blair,"{'latitude': '40.51333', 'longitude': '-78.40583', 'human_address': '{""address"": ""1106 16th Street"", ""city"": ""Altoona"", ""state"": ""PA"", ""zip"": ""16601""}'}","{'type': 'Point', 'coordinates': [-78.405655, 40.513195]}",40.513195,-78.405655,Yes,Active,17,46,13,52,101,29,8149492491,M-F 7 am -7 pm,Operational,Chief Janice Freehling
55,Johnsonburg Borough Police Dept.,100 Main Street,Johnsonburg,PA,15845,Elk,"{'latitude': '41.498844', 'longitude': '-78.68187', 'human_address': '{""address"": ""100 Main Street"", ""city"": ""Johnsonburg"", ""state"": ""PA"", ""zip"": ""15845""}'}","{'type': 'Point', 'coordinates': [-78.682126, 41.49823]}",41.49823,-78.682126,Yes,Active,14,29,3,2263,200,15,(814)965-2816,,,Officer John Clopp
56,Jim Thorpe Police Dept.,101 East Tenth Street,Jim Thorpe,PA,18229,Carbon,"{'latitude': '40.877893', 'longitude': '-75.725138', 'human_address': '{""address"": ""101 East Tenth Street"", ""city"": ""Jim Thorpe"", ""state"": ""PA"", ""zip"": ""18229""}'}","{'type': 'Point', 'coordinates': [-75.7250897, 40.8773524]}",40.8773524,-75.7250897,No,Active,30,4,1,438,199,108,(570)325-4995,Monday thru Friday from 8:30am until 4:00pm,Operational,Chief Joseph Schatz
57,Borough of Lehighton Police Dept.,124 South Third Street,Lehighton,PA,18235,Carbon,"{'latitude': '40.833328', 'longitude': '-75.712047', 'human_address': '{""address"": ""124 South Third Street"", ""city"": ""Lehighton"", ""state"": ""PA"", ""zip"": ""18235""}'}","{'type': 'Point', 'coordinates': [-75.7120071, 40.8328428]}",40.8328428,-75.7120071,No,Active,30,4,1,1059,153,108,(610)377-4003,M-F 8:30 - 5:00,Operational,Chief Brian Biechy
58,Northern York County Regional Police Department,1445 East Canal Road,Dover,PA,17315,York,"{'latitude': '40.008009', 'longitude': '-76.829096', 'human_address': '{""address"": ""1445 East Canal Road"", ""city"": ""Dover"", ""state"": ""PA"", ""zip"": ""17315""}'}","{'type': 'Point', 'coordinates': [-76.8284053, 40.0086231]}",40.0086231,-76.8284053,No,Active,20,12,16,839,68,196,(717)292-3647,Open Monday through Friday from 8AM to 4:30PM.,Operational,
59,Patton Township Police Dept.,100 Patton Plaza,State College,PA,16803,Centre,"{'latitude': '40.812643', 'longitude': '-77.920374', 'human_address': '{""address"": ""100 Patton Plaza"", ""city"": ""State College"", ""state"": ""PA"", ""zip"": ""16803""}'}","{'type': 'Point', 'coordinates': [-77.92002, 40.812262]}",40.812262,-77.92002,Yes,Active,18,5,3,991,406,18,(814)234-0273,,,Detective Erik Haas
60,City of Monessen Police Dept.,239 Donner Avenue,Monessen,PA,15062,Westmoreland,"{'latitude': '40.160956', 'longitude': '-79.881146', 'human_address': '{""address"": ""239 Donner Avenue"", ""city"": ""Monessen"", ""state"": ""PA"", ""zip"": ""15062""}'}","{'type': 'Point', 'coordinates': [-79.8812683, 40.1609526]}",40.1609526,-79.8812683,Yes,Active,1,24,9,1074,327,86,(724)684-6151,M-F 8:30am-4pm.,Operational,Chief John Mandarino
61,Neshannock Township Police,3131 Mercer Rd.,New Castle,PA,16105,Lawrence,"{'latitude': '41.05083', 'longitude': '-80.333706', 'human_address': '{""address"": ""3131 Mercer Rd."", ""city"": ""New Castle"", ""state"": ""PA"", ""zip"": ""16105""}'}","{'type': 'Point', 'coordinates': [-80.335472, 41.050941]}",41.050941,-80.335472,No,Active,2,27,11,1541,288,22,(724) 658-5631,,,
